Region,Region Code,State,State Code,Age Groups,Age Groups Code,Year,Year Code,Count,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
Northeast,CENS-R1,Connecticut,09,20-24 years,20-24,2006,2006,0,215159,0,0,0,0
Northeast,CENS-R1,Connecticut,09,20-24 years,20-24,2007,2007,0,218128,0,0,0,0
Northeast,CENS-R1,Connecticut,09,20-24 years,20-24,2008,2008,0,220127,0,0,0,0
Northeast,CENS-R1,Connecticut,09,20-24 years,20-24,2009,2009,Suppressed,224524,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,20-24 years,20-24,2010,2010,0,229142,0,0,0,0
Northeast,CENS-R1,Connecticut,09,20-24 years,20-24,2011,2011,0,229383,0,0,0,0
Northeast,CENS-R1,Connecticut,09,20-24 years,20-24,2012,2012,0,232238,0,0,0,0
Northeast,CENS-R1,Connecticut,09,20-24 years,20-24,2013,2013,Suppressed,237522,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,20-24 years,20-24,2014,2014,0,243416,0,0,0,0
Northeast,CENS-R1,Connecticut,09,20-24 years,20-24,2015,2015,0,245693,0,0,0,0
Northeast,CENS-R1,Connecticut,09,20-24 years,20-24,2016,2016,0,246015,0,0,0,0
Northeast,CENS-R1,Connecticut,09,20-24 years,20-24,2017,2017,0,245059,0,0,0,0
Northeast,CENS-R1,Connecticut,09,20-24 years,20-24,2018,2018,0,241748,0,0,0,0
Northeast,CENS-R1,Connecticut,09,20-24 years,20-24,2019,2019,0,238877,0,0,0,0
Northeast,CENS-R1,Connecticut,09,20-24 years,20-24,2020,2020,0,237251,0,0,0,0
Northeast,CENS-R1,Connecticut,09,20-24 years,20-24,2021,2021,0,245583,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,1999,1999,0,207932,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2000,2000,0,200230,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2001,2001,0,191917,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2002,2002,0,190223,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2003,2003,0,191110,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2004,2004,0,192328,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2005,2005,0,193585,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2006,2006,0,195543,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2007,2007,0,198786,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2008,2008,Suppressed,206261,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2009,2009,0,210390,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2010,2010,Suppressed,214962,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2011,2011,0,217399,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2012,2012,0,218541,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2013,2013,0,219197,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2014,2014,0,219260,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2015,2015,0,218280,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2016,2016,Suppressed,216994,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2017,2017,0,218518,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2018,2018,0,221396,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2019,2019,0,223028,0,0,0,0
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2020,2020,Suppressed,222862,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,25-29 years,25-29,2021,2021,0,225985,0,0,0,0
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,1999,1999,0,254504,0,0,0,0
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2000,2000,0,250194,0,0,0,0
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2001,2001,Suppressed,245375,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2002,2002,Suppressed,241267,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2003,2003,Suppressed,234457,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2004,2004,Suppressed,225636,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2005,2005,Suppressed,215637,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2006,2006,0,207734,0,0,0,0
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2007,2007,Suppressed,203854,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2008,2008,0,202930,0,0,0,0
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2009,2009,0,204925,0,0,0,0
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2010,2010,0,207003,0,0,0,0
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2011,2011,Suppressed,210775,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2012,2012,Suppressed,214517,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2013,2013,Suppressed,217087,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2014,2014,Suppressed,218705,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2015,2015,Suppressed,219532,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2016,2016,Suppressed,221489,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2017,2017,Suppressed,222382,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2018,2018,0,224730,0,0,0,0
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2019,2019,0,224778,0,0,0,0
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2020,2020,0,224430,0,0,0,0
Northeast,CENS-R1,Connecticut,09,30-34 years,30-34,2021,2021,0,227500,0,0,0,0
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,1999,1999,Suppressed,293075,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2000,2000,Suppressed,289835,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2001,2001,Suppressed,284856,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2002,2002,Suppressed,277934,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2003,2003,Suppressed,272111,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2004,2004,Suppressed,263204,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2005,2005,Suppressed,258112,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2006,2006,Suppressed,253158,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,35-39 years,35-39,2007,2007,Suppressed,247350,Suppressed,Suppressed,Suppressed,Suppressed
